=== 全局标签值统计 ===
共发现 507 个不同的标签值
标签值	出现文件数
0.0	103
1.0	69
2.0	72
3.0	72
4.0	74
5.0	74
6.0	76
7.0	77
8.0	77
9.0	78
10.0	77
11.0	75
12.0	75
13.0	76
14.0	75
15.0	72
16.0	75
17.0	73
18.0	70
19.0	73
20.0	69
21.0	76
22.0	69
23.0	72
24.0	70
25.0	70
26.0	67
27.0	58
28.0	51
29.0	31
30.0	23
31.0	17
32.0	13
33.0	11
34.0	9
35.0	7
36.0	5
37.0	7
38.0	3
39.0	3
40.0	4
41.0	2
42.0	1
43.0	2
44.0	2
45.0	2
46.0	3
47.0	3
48.0	3
49.0	2
50.0	1
51.0	2
52.0	1
53.0	1
54.0	1
55.0	1
56.0	1
57.0	1
355.0	1
356.0	1
357.0	1
358.0	1
359.0	1
360.0	1
361.0	1
362.0	1
363.0	1
364.0	1
365.0	1
366.0	1
367.0	1
368.0	1
369.0	1
370.0	1
371.0	1
372.0	1
373.0	1
374.0	1
375.0	1
376.0	1
377.0	1
378.0	1
379.0	1
380.0	1
381.0	1
382.0	1
383.0	1
384.0	1
385.0	1
386.0	1
387.0	1
388.0	1
389.0	1
390.0	1
391.0	1
392.0	1
3168.0	1
3169.0	1
3170.0	1
3171.0	1
3173.0	1
3174.0	1
3175.0	1
3176.0	1
3177.0	1
3178.0	1
3179.0	1
3180.0	1
3802.0	1
3804.0	1
3806.0	1
3807.0	1
3808.0	1
3809.0	1
3810.0	1
3811.0	1
3812.0	1
3813.0	1
3814.0	1
3846.0	1
3847.0	1
3848.0	1
3849.0	1
3850.0	1
3851.0	1
3852.0	1
3853.0	1
3854.0	1
3855.0	1
3856.0	1
3874.0	1
3875.0	1
3876.0	1
3877.0	1
3878.0	1
3879.0	1
3880.0	1
3881.0	1
3882.0	1
3883.0	1
3884.0	1
3885.0	1
3886.0	1
3887.0	1
4511.0	1
4512.0	1
4513.0	1
4514.0	1
4515.0	1
4516.0	1
4517.0	1
4518.0	1
4519.0	1
4520.0	1
4521.0	1
4522.0	1
4523.0	1
4524.0	1
4525.0	1
4526.0	1
4527.0	1
4528.0	1
4529.0	1
4602.0	1
4603.0	1
4604.0	1
4605.0	1
4606.0	1
4607.0	1
4608.0	1
4609.0	1
4610.0	1
4611.0	1
4612.0	1
4613.0	1
4614.0	1
4615.0	1
4616.0	1
4617.0	1
4618.0	1
4619.0	1
4620.0	1
4621.0	1
4622.0	1
4623.0	1
4624.0	1
4625.0	1
4626.0	1
4627.0	1
4628.0	1
4785.0	1
4786.0	1
4787.0	1
4788.0	1
4789.0	1
4790.0	1
4791.0	1
4792.0	1
4793.0	1
4794.0	1
4795.0	1
4796.0	1
4797.0	1
4798.0	1
4799.0	1
4800.0	1
4801.0	1
